,Intent_prob
328,0.5359513517279291
329,0.5289039605379199
330,0.589953701020081
331,0.594020769814475
332,0.6073831400751164
333,0.6175986213430653
334,0.64242191551163
335,0.4640116529759477
336,0.6556326933565765
337,0.3275270986327168
338,0.47363758478022955
339,0.4567860324116289
340,0.6599895383876206
341,0.33253147075273315
342,0.3271712668217769
343,0.4523881103154247
344,0.4542072457992821
345,0.29654193211572666
346,0.2991121269181638
347,0.3030891656021377
348,0.3009928335695192
349,0.44507153456298976
350,0.44118190021831005
351,0.2889863275948755
352,0.2894276711172898
353,0.26927427451265495
354,0.2479274992421578
355,0.20130117430430233
356,0.2067845785353553
357,0.21493187638293143
358,0.22581183850372671
359,0.25317980126290185
360,0.29044635731027707
361,0.29661329823475624
362,0.33469691745672253
363,0.33227953138766325
364,0.45505029999975466
365,0.3519962192816658
366,0.35850283306053843
367,0.35695525216065527
368,0.4899084125992293
369,0.48019394191302167
370,0.5017571161340129
371,0.376279890554884
372,0.3727673612257541
373,0.3768509185402314
374,0.4945262758699474
375,0.4938633533702708
376,0.48981050344522686
377,0.47340136674972
378,0.7051254895782907
379,0.7031965914896803
380,0.7153104939009047
381,0.713379610798523
382,0.6739221789208188
383,0.6499118779556832
384,0.6062278365208518
385,0.6079513529420935
386,0.6004922521937108
387,0.5951278524145579
388,0.38354595355283094
389,0.38608442521911157
390,0.4881754454443772
391,0.6307986554929573
392,0.616707369393868
393,0.6157320557006132
394,0.6179196247169914
395,0.5954177486797584
396,0.4267699255875915
397,0.6498280391954139
398,0.6551956066252698
399,0.6555592376098556
400,0.6540691219892392
401,0.6477166976796411
402,0.6300253789873942
403,0.5743841630237102
404,0.2298795335857123
405,0.15647268266402453
406,0.12188807014120664
